Site,Time,Level,Trend,Month,Year,tot_qty,tot_mL,min_qty,min_mL,cost,cost/qty,cost/mL,Minims %,Surg_Vol,Diag_Vol,Tot_Vol,qty_per_vol,ml_per_vol,cost_per_vol
RAH,1,0,0,APR,2013,122,511,76,31,635.2,5.206557377,1.243052838,6.07%,1182,2875,4057,30.1,126,156.5688933
RAH,2,0,0,MAY,2013,77,322.5,35,12.5,375.65,4.878571429,1.164806202,3.88%,1219,3007,4226,18.2,76,88.8902035
RAH,3,0,0,JUN,2013,91,354.6,50,19.6,434.465,4.774340659,1.225225606,5.53%,976,2756,3732,24.4,95,116.4161308
RAH,4,0,0,JUL,2013,50,288,22,8,350.3331,7.006662,1.216434375,2.78%,804,2535,3339,15.0,86,104.9215633
RAH,5,0,0,AUG,2013,64,271,34,11,344.6981,5.385907813,1.271948708,4.06%,680,1629,2309,27.7,117,149.2845821
RAH,6,0,0,SEP,2013,72,409.2,24,9.2,478.8171,6.6502375,1.170129765,2.25%,881,2429,3310,21.8,124,144.6577341
RAH,7,0,0,OCT,2013,91,358.5,49,18.5,469.4122,5.158375824,1.309378522,5.16%,1142,1478,2620,34.7,137,179.1649618
RAH,8,0,0,NOV,2013,73,242,46,17,331.6983,4.543812329,1.370654132,7.02%,908,1271,2179,33.5,111,152.2250115
RAH,9,0,0,DEC,2013,104,431.9,67,26.9,550.4784,5.293061538,1.27455059,6.23%,718,1088,1806,57.6,239,304.8053156
RAH,10,0,0,JAN,2014,80,291.5,47,16.5,384.5292,4.806615,1.319139623,5.66%,910,1146,2056,38.9,142,187.027821
RAH,11,0,0,FEB,2014,68,178,42,18,236.2896,3.474847059,1.327469663,10.11%,1042,1178,2220,30.6,80,106.4367568
RAH,12,0,0,MAR,2014,97,214,72,29,367.9598,3.7934,1.719438318,13.55%,983,1417,2400,40.4,89,153.3165833
RAH,13,1,1,APR,2014,107,293,80,28,437.5792,4.089525234,1.493444369,9.56%,1147,1366,2513,42.6,117,174.1262236
RAH,14,1,2,MAY,2014,104,416.4,68,26.4,554.6434,5.333109615,1.331996638,6.34%,1151,1537,2688,38.7,155,206.3405506
RAH,15,1,3,JUN,2014,938,708.7,913,453.7,1970.0824,2.100301066,2.779853817,64.02%,936,1192,2128,440.8,333,925.7906015
RAH,16,1,4,JUL,2014,1211,422,1230,607,2115.825,1.747171759,5.013803318,143.84%,747,1276,2023,598.6,209,1045.884825
RAH,17,1,5,AUG,2014,844,443,842,413,1665.3,1.973104265,3.759142212,93.23%,748,977,1725,489.3,257,965.3913043
RAH,18,1,6,SEP,2014,1564,799,1562,769,3027.3,1.935613811,3.788861076,96.25%,1088,1385,2473,632.4,323,1224.14072
RAH,19,1,7,OCT,2014,2690,1313,2690,1313,5209.502,1.936617844,3.967632902,100.00%,1124,1388,2512,1070.9,523,2073.846338
RAH,20,1,8,NOV,2014,2005,1005,2004,990,3789.7912,1.890170175,3.770936517,98.51%,988,1329,2317,865.3,434,1635.645749
RAH,21,1,9,DEC,2014,1196,591,1196,591,2218.541,1.854967391,3.753876481,100.00%,765,1095,1860,643.0,318,1192.763978
RAH,22,1,10,JAN,2015,1459,856.5,1439,716.5,2794.3356,1.915240302,3.262505079,83.65%,896,1251,2147,679.6,399,1301.507033
RAH,23,1,11,FEB,2015,1734,864.6,1734,864.6,3207.9002,1.850000115,3.710270877,100.00%,935,1150,2085,831.7,415,1538.561247
RAH,24,1,12,MAR,2015,1825,900.5,1825,900.5,3376.25,1.85,3.749305941,100.00%,1116,1361,2477,736.8,364,1363.039968
RGH,1,0,0,APR,2013,129,723.7,59,23.7,842.2152,6.5288,1.163762885,3.27%,490,2467,2957,43.6,245,284.8208319
RGH,2,0,0,MAY,2013,67,533.3,11,3.3,566.674,8.457820896,1.062580161,0.62%,572,2726,3298,20.3,162,171.8235294
RGH,3,0,0,JUN,2013,148,611,90,31,779.1807,5.264734459,1.275254828,5.07%,428,2323,2751,53.8,222,283.2354417
RGH,4,0,0,JUL,2013,155,633.5,93,33.5,816.0011,5.264523226,1.28808382,5.29%,450,2511,2961,52.3,214,275.582945
RGH,5,0,0,AUG,2013,150,538.4,90,38.4,697.4177,4.649451333,1.29535234,7.13%,418,2323,2741,54.7,196,254.4391463
RGH,6,0,0,SEP,2013,146,578,92,38,758.7874,5.197173973,1.312780969,6.57%,549,2539,3088,47.3,187,245.7213083
RGH,7,0,0,OCT,2013,107,825.9,19,5.9,924.1227,8.636660748,1.118928078,0.71%,514,2616,3130,34.2,264,295.246869
RGH,8,0,0,NOV,2013,103,651.5,33,11.5,767.2344,7.44887767,1.177642978,1.77%,436,2522,2958,34.8,220,259.3760649
RGH,9,0,0,DEC,2013,78,344,40,14,428.2834,5.490812821,1.245009884,4.07%,386,2212,2598,30.0,132,164.8511932
RGH,10,0,0,JAN,2014,145,947.3,49,17.3,1123.1505,7.745865517,1.185633379,1.83%,467,2638,3105,46.7,305,361.7231884
RGH,11,0,0,FEB,2014,90,542.2,38,12.2,645.7358,7.174842222,1.190954998,2.25%,410,2285,2695,33.4,201,239.6051206
RGH,12,0,0,MAR,2014,130,475.8,84,25.8,663.8631,5.106639231,1.39525662,5.42%,480,2603,3083,42.2,154,215.3302303
RGH,13,1,1,APR,2014,87,709.5,15,9.5,800.6879,9.203309195,1.128524172,1.34%,473,2650,3123,27.9,227,256.3842139
RGH,14,1,2,MAY,2014,145,414.2,108,39.2,619.8756,4.275004138,1.496561082,9.46%,452,2728,3180,45.6,130,194.929434
RGH,15,1,3,JUN,2014,158.6,635,101.6,40,848.4724,5.349762926,1.336177008,6.30%,457,2705,3162,50.2,201,268.3340923
RGH,16,1,4,JUL,2014,101,422.9,55,22.9,540.3031,5.349535644,1.27761433,5.41%,424,2871,3295,30.7,128,163.9766616
RGH,17,1,5,AUG,2014,103,379.9,53,19.9,483.5422,4.694584466,1.272814425,5.24%,322,2235,2557,40.3,149,189.1052796
RGH,18,1,6,SEP,2014,101,322,66,27,442.7853,4.384012871,1.375109627,8.39%,493,2761,3254,31.0,99,136.0741549
RGH,19,1,7,OCT,2014,215,747.8,150,62.8,1045.8098,4.864231628,1.398515378,8.40%,402,2630,3032,70.9,247,344.9240765
RGH,20,1,8,NOV,2014,107,503.1,63,23.1,653.7779,6.110073832,1.299498907,4.59%,453,2279,2732,39.2,184,239.3037701
RGH,21,1,9,DEC,2014,88,596.9,27,11.9,698.0725,7.932642045,1.169496566,1.99%,376,2499,2875,30.6,208,242.8078261
RGH,22,1,10,JAN,2015,193,743.6,124,48.6,1002.9051,5.196399482,1.348715842,6.54%,395,2459,2854,67.6,261,351.4033287
RGH,23,1,11,FEB,2015,120,511.1,73,26.1,669.8854,5.582378333,1.310673841,5.11%,367,2326,2693,44.6,190,248.7506127
RGH,24,1,12,MAR,2015,103,665.5,37,15.5,791.8565,7.687927184,1.189867017,2.33%,420,2579,2999,34.3,222,264.0401801
